"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","pub_rec_bankruptcies","collections_12_mths_ex_med","mths_since_last_major_derog"
26000,36,5.31,782.87,"A","A1","n/a","MORTGAGE",70133,"Credit card refinancing","Credit card refinancing","170xx","PA",22.76,0,1,NA,NA,12,0,17066,39.6,31,"f",0,0,"null"
24000,36,6.83,739.19,"A","A3","10+ years","MORTGAGE",180000,"Debt consolidation","Debt consolidation","064xx","CT",12.19,0,0,NA,84,15,1,17742,35.1,23,"f",1,0,"null"
30000,60,7.46,600.57,"A","A4","10+ years","MORTGAGE",130000,"Credit card refinancing","Credit card refinancing","117xx","NY",14.34,0,0,NA,NA,5,0,18113,45.3,10,"f",0,1,"null"
25000,36,5.31,752.76,"A","A1","4 years","RENT",179000,"Credit card refinancing","Credit card refinancing","606xx","IL",8.85,0,0,49,NA,14,0,26951,77,31,"f",0,0,"null"
3500,36,5.31,105.39,"A","A1","2 years","RENT",65000,"Credit card refinancing","Credit card refinancing","307xx","GA",2.47,0,0,NA,NA,2,0,8483,44.9,9,"f",0,0,"null"
20000,60,5.31,380.28,"A","A1","3 years","OWN",40000,"Credit card refinancing","Credit card refinancing","787xx","TX",10.5,0,0,NA,NA,2,0,18969,53.7,9,"f",0,0,"null"
6000,36,20.39,224.18,"D","D4","6 years","RENT",48000,"Debt consolidation","Debt consolidation","597xx","MT",28.5,0,0,70,NA,10,0,11799,72.8,13,"f",0,0,"70"
3000,36,17.47,107.67,"D","D1","5 years","RENT",42000,"Debt consolidation","Debt consolidation","850xx","AZ",29.17,1,1,19,NA,8,0,558,18,9,"f",0,0,"19"
15000,36,7.46,466.32,"A","A4","7 years","MORTGAGE",90000,"Debt consolidation","Debt consolidation","612xx","IL",0.6,0,3,NA,NA,21,0,858,1,24,"f",0,0,"null"
6000,36,15.49,209.44,"C","C4","7 years","MORTGAGE",80000,"Home improvement","Home improvement","446xx","OH",19.71,0,0,NA,NA,7,0,11228,99.4,33,"f",0,0,"null"
7700,36,18.45,280.12,"D","D2","3 years","MORTGAGE",75000,"Credit card refinancing","Credit card refinancing","553xx","MN",11.34,0,0,NA,NA,11,0,9604,48,21,"f",0,0,"null"
4900,36,10.07,158.28,"B","B2","10+ years","MORTGAGE",131000,"Home improvement","Home improvement","922xx","CA",15.33,0,1,80,43,19,1,7254,31.8,59,"f",1,0,"null"
5000,36,14.03,170.97,"C","C2","10+ years","OWN",77659,"Other","Other","483xx","MI",3.97,0,1,42,NA,4,0,4728,77.5,19,"f",0,0,"60"
5000,36,6.83,154,"A","A3","1 year","MORTGAGE",95000,"Home improvement","Home improvement","707xx","LA",21.44,0,1,NA,NA,26,0,25189,19.5,46,"f",0,0,"null"
8000,36,14.03,273.54,"C","C2","1 year","RENT",41000,"Credit card refinancing","Credit card refinancing","128xx","NY",14.46,0,0,NA,41,9,1,7428,41.7,32,"f",1,0,"null"
4000,36,9.58,128.29,"B","B1","9 years","MORTGAGE",78000,"Debt consolidation","Debt consolidation","765xx","TX",37.89,0,1,NA,NA,12,0,20116,62.1,34,"f",0,0,"null"
6000,36,11.05,196.58,"B","B4","< 1 year","MORTGAGE",45000,"Debt consolidation","Debt consolidation","996xx","AK",3.57,0,1,NA,116,6,1,4443,43.1,16,"f",1,0,"null"
5000,36,14.03,170.97,"C","C2","10+ years","RENT",25000,"Major purchase","Major purchase","432xx","OH",24.04,0,0,29,NA,4,0,1606,43.4,6,"f",0,0,"45"
7500,36,16.46,265.39,"C","C5","6 years","RENT",100000,"Other","Other","902xx","CA",23.69,1,1,10,NA,12,0,16992,44.8,20,"f",0,0,"null"
7000,36,17.47,251.21,"D","D1","3 years","RENT",96970,"Credit card refinancing","Credit card refinancing","200xx","DC",15.36,0,0,26,NA,15,0,6647,58.8,26,"f",0,0,"26"
5000,36,13.06,168.62,"C","C1","n/a","OWN",26000,"Debt consolidation","Debt consolidation","402xx","KY",12.66,0,0,50,NA,9,0,1965,19.5,25,"f",0,0,"51"
10000,36,6.83,308,"A","A3","4 years","MORTGAGE",155000,"Debt consolidation","Debt consolidation","757xx","TX",5.39,0,0,NA,80,6,1,5659,22,14,"f",1,0,"null"
8000,36,13.06,269.79,"C","C1","10+ years","RENT",85000,"Credit card refinancing","Credit card refinancing","951xx","CA",9.94,0,0,41,NA,7,0,11165,82.1,15,"f",0,0,"null"
6000,36,10.07,193.81,"B","B2","10+ years","RENT",68000,"Credit card refinancing","Credit card refinancing","200xx","DC",26.47,0,0,NA,NA,13,0,30595,87.7,25,"f",0,0,"null"
7200,36,18.45,261.93,"D","D2","1 year","MORTGAGE",75000,"Other","Other","853xx","AZ",12.35,1,0,17,87,8,1,6011,89.7,36,"f",1,0,"29"
7500,36,18.45,272.84,"D","D2","4 years","RENT",225000,"Debt consolidation","Debt consolidation","600xx","IL",4.68,1,1,7,NA,5,0,6431,53.6,7,"f",0,0,"45"
15000,60,12.13,334.66,"B","B5","8 years","MORTGAGE",82999,"Other","Other","118xx","NY",32.48,0,0,NA,NA,25,0,39757,61.9,40,"f",0,0,"null"
5000,36,16.46,176.93,"C","C5","4 years","MORTGAGE",75000,"Debt consolidation","Debt consolidation","080xx","NJ",13.97,1,0,14,NA,13,0,1435,19.7,33,"f",0,0,"14"
5000,36,8.08,156.87,"A","A5","1 year","RENT",120000,"Credit card refinancing","Credit card refinancing","923xx","CA",10.75,0,3,32,NA,34,0,5695,27.8,48,"f",0,0,"null"
6400,36,6.19,195.26,"A","A2","n/a","MORTGAGE",54000,"Debt consolidation","Debt consolidation","285xx","NC",22.11,0,0,NA,NA,14,0,4379,16.3,24,"f",0,0,"null"
6000,36,8.08,188.24,"A","A5","3 years","RENT",27560,"Credit card refinancing","Credit card refinancing","081xx","NJ",9.23,1,0,12,NA,3,0,7413,23.3,6,"f",0,0,"null"
8000,36,11.05,262.1,"B","B4","n/a","RENT",60000,"Credit card refinancing","Credit card refinancing","774xx","TX",6.28,0,0,NA,NA,4,0,11704,65.8,4,"f",0,0,"null"
10000,60,14.03,232.84,"C","C2","2 years","MORTGAGE",120000,"Car financing","Car financing","293xx","SC",10.9,0,1,77,NA,20,0,3660,11.7,46,"f",0,0,"77"
10000,36,6.19,305.09,"A","A2","2 years","RENT",80000,"Debt consolidation","Debt consolidation","981xx","WA",4.62,0,0,NA,NA,6,0,11169,20.6,8,"f",0,0,"null"
8000,36,8.08,250.99,"A","A5","10+ years","MORTGAGE",174000,"Credit card refinancing","Credit card refinancing","080xx","NJ",12.75,0,2,NA,116,15,1,7536,16,20,"f",1,0,"null"
9000,36,8.08,282.36,"A","A5","1 year","OWN",57000,"Credit card refinancing","Credit card refinancing","483xx","MI",22.27,0,0,NA,92,40,1,26223,34,57,"f",1,0,"null"
8400,36,9.58,269.4,"B","B1","8 years","MORTGAGE",50000,"Credit card refinancing","Credit card refinancing","950xx","CA",22.08,0,0,NA,NA,9,0,18976,78.7,10,"f",0,0,"null"
