"points","first_name","last_name","Position","Name...ID","Name","ID","Salary","Game.Info"
1.689,"giovanni","ricci","TE","Giovanni Ricci (24170344)","giovanni ricci",24170344,2500,"NO@CAR 09/25/2022 01:00PM ET"
1.62,"pierre","strong","RB","Pierre Strong Jr. (24169588)","pierre strong",24169588,4000,"BAL@NE 09/25/2022 01:00PM ET"
1.597,"ty","johnson","RB","Ty Johnson (24169622)","ty johnson",24169622,4000,"CIN@NYJ 09/25/2022 01:00PM ET"
1.53,"justice","hill","RB","Justice Hill (24169538)","justice hill",24169538,4000,"BAL@NE 09/25/2022 01:00PM ET"
1.5,"brittain","brown","RB","Brittain Brown (24169552)","brittain brown",24169552,4000,"LV@TEN 09/25/2022 01:00PM ET"
1.3705,"isaiah","spiller","RB","Isaiah Spiller (24169478)","isaiah spiller",24169478,4000,"JAX@LAC 09/25/2022 04:05PM ET"
1.367,"trey","sermon","RB","Trey Sermon (24169514)","trey sermon",24169514,4000,"PHI@WAS 09/25/2022 01:00PM ET"
1.35975,"jonathan","williams","RB","Jonathan Williams (24169604)","jonathan williams",24169604,4000,"PHI@WAS 09/25/2022 01:00PM ET"
1.338,"avery","williams","RB","Avery Williams (24169570)","avery williams",24169570,4000,"ATL@SEA 09/25/2022 04:25PM ET"
1.23725,"salvon","ahmed","RB","Salvon Ahmed (24169612)","salvon ahmed",24169612,4000,"BUF@MIA 09/25/2022 01:00PM ET"
1.19925,"alec","ingold","RB","Alec Ingold (24169618)","alec ingold",24169618,4000,"BUF@MIA 09/25/2022 01:00PM ET"
1.157,"dwayne","washington","RB","Dwayne Washington (24169540)","dwayne washington",24169540,4000,"NO@CAR 09/25/2022 01:00PM ET"
1.1325,"keshawn","vaughn","RB","Ke'Shawn Vaughn (24169524)","keshawn vaughn",24169524,4000,"GB@TB 09/25/2022 04:25PM ET"
1.1075,"justin","jackson","RB","Justin Jackson (24169640)","justin jackson",24169640,4000,"DET@MIN 09/25/2022 01:00PM ET"
1.0025,"zamir","white","RB","Zamir White (24169566)","zamir white",24169566,4000,"LV@TEN 09/25/2022 01:00PM ET"
0.9975,"kevin","harris","RB","Kevin Harris (24169592)","kevin harris",24169592,4000,"BAL@NE 09/25/2022 01:00PM ET"
0.97975,"zander","horvath","RB","Zander Horvath (24169480)","zander horvath",24169480,4000,"JAX@LAC 09/25/2022 04:05PM ET"
0.9655,"ronald","jones","RB","Ronald Jones II (24169490)","ronald jones",24169490,4000,"KC@IND 09/25/2022 01:00PM ET"
0.878758620689655,"patrick","ricard","RB","Patrick Ricard (24169532)","patrick ricard",24169532,4000,"BAL@NE 09/25/2022 01:00PM ET"
0.838,"jonathan","ward","RB","Jonathan Ward (24169608)","jonathan ward",24169608,4000,"LAR@ARI 09/25/2022 04:25PM ET"
0.806,"trestan","ebner","RB","Trestan Ebner (24169518)","trestan ebner",24169518,4000,"HOU@CHI 09/25/2022 01:00PM ET"
0.7485,"chris","evans","RB","Chris Evans (24169494)","chris evans",24169494,4000,"CIN@NYJ 09/25/2022 01:00PM ET"
0.747,"cj","ham","RB","C.J. Ham (24169486)","cj ham",24169486,4000,"DET@MIN 09/25/2022 01:00PM ET"
0.655,"kene","nwangwu","RB","Kene Nwangwu (24169470)","kene nwangwu",24169470,4200,"DET@MIN 09/25/2022 01:00PM ET"
0.51,"trayveon","williams","RB","Trayveon Williams (24169496)","trayveon williams",24169496,4000,"CIN@NYJ 09/25/2022 01:00PM ET"
0.431,"jason","cabinda","RB","Jason Cabinda (24169646)","jason cabinda",24169646,4000,"DET@MIN 09/25/2022 01:00PM ET"
0.421,"tony","jones","RB","Tony Jones Jr. (24169476)","tony jones",24169476,4100,"NO@CAR 09/25/2022 01:00PM ET"
0.411,"phillip","lindsay","RB","Phillip Lindsay (24169628)","phillip lindsay",24169628,4000,"KC@IND 09/25/2022 01:00PM ET"
0.239,"troy","hairston","RB","Troy Hairston (24169598)","troy hairston",24169598,4000,"HOU@CHI 09/25/2022 01:00PM ET"
0.224,"tory","carter","RB","Tory Carter (24169564)","tory carter",24169564,4000,"LV@TEN 09/25/2022 01:00PM ET"
0.216,"khari","blasingame","RB","Khari Blasingame (24169520)","khari blasingame",24169520,4000,"HOU@CHI 09/25/2022 01:00PM ET"
0.19,"keith","smith","RB","Keith Smith (24169576)","keith smith",24169576,4000,"ATL@SEA 09/25/2022 04:25PM ET"
0.163,"michael","burton","RB","Michael Burton (24169492)","michael burton",24169492,4000,"KC@IND 09/25/2022 01:00PM ET"
13.09,"justin","jefferson","WR","Justin Jefferson (24169650)","justin jefferson",24169650,9300,"DET@MIN 09/25/2022 01:00PM ET"
13.05775,"tyreek","hill","WR","Tyreek Hill (24169658)","tyreek hill",24169658,7600,"BUF@MIA 09/25/2022 01:00PM ET"
12.8495,"cooper","kupp","WR","Cooper Kupp (24169648)","cooper kupp",24169648,9900,"LAR@ARI 09/25/2022 04:25PM ET"
12.653,"stefon","diggs","WR","Stefon Diggs (24169656)","stefon diggs",24169656,7700,"BUF@MIA 09/25/2022 01:00PM ET"
12.5745067567568,"davante","adams","WR","Davante Adams (24169652)","davante adams",24169652,8400,"LV@TEN 09/25/2022 01:00PM ET"
12.19025,"aj","brown","WR","A.J. Brown (24169660)","aj brown",24169660,7300,"PHI@WAS 09/25/2022 01:00PM ET"
12.056,"jamarr","chase","WR","Ja'Marr Chase (24169654)","jamarr chase",24169654,8100,"CIN@NYJ 09/25/2022 01:00PM ET"
11.8605,"deandre","hopkins","WR","DeAndre Hopkins (24169712)","deandre hopkins",24169712,5400,"LAR@ARI 09/25/2022 04:25PM ET"
10.6085,"tee","higgins","WR","Tee Higgins (24169682)","tee higgins",24169682,6100,"CIN@NYJ 09/25/2022 01:00PM ET"
10.42725,"jaylen","waddle","WR","Jaylen Waddle (24169666)","jaylen waddle",24169666,6800,"BUF@MIA 09/25/2022 01:00PM ET"
10.40225,"amonra","st brown","WR","Amon-Ra St. Brown (24169662)","amonra st brown",24169662,7200,"DET@MIN 09/25/2022 01:00PM ET"
10.0695,"mike","evans","WR","Mike Evans (24169670)","mike evans",24169670,6600,"GB@TB 09/25/2022 04:25PM ET"
9.53675,"tyler","lockett","WR","Tyler Lockett (24169694)","tyler lockett",24169694,5800,"ATL@SEA 09/25/2022 04:25PM ET"
9.335,"brandin","cooks","WR","Brandin Cooks (24169698)","brandin cooks",24169698,5800,"HOU@CHI 09/25/2022 01:00PM ET"
8.91575,"gabriel","davis","WR","Gabe Davis (24169676)","gabe davis",24169676,6300,"BUF@MIA 09/25/2022 01:00PM ET"
8.72758098591549,"christian","kirk","WR","Christian Kirk (24169680)","christian kirk",24169680,6200,"JAX@LAC 09/25/2022 04:05PM ET"
8.6965,"dj","moore","WR","DJ Moore (24169706)","dj moore",24169706,5600,"NO@CAR 09/25/2022 01:00PM ET"
8.498,"dk","metcalf","WR","DK Metcalf (24169684)","dk metcalf",24169684,6100,"ATL@SEA 09/25/2022 04:25PM ET"
8.228,"chris","godwin","WR","Chris Godwin (24169678)","chris godwin",24169678,6200,"GB@TB 09/25/2022 04:25PM ET"
8.0895,"tyler","boyd","WR","Tyler Boyd (24169720)","tyler boyd",24169720,5200,"CIN@NYJ 09/25/2022 01:00PM ET"
8.04229881656805,"terry","mclaurin","WR","Terry McLaurin (24169674)","terry mclaurin",24169674,6400,"PHI@WAS 09/25/2022 01:00PM ET"
7.97425,"adam","thielen","WR","Adam Thielen (24169690)","adam thielen",24169690,5900,"DET@MIN 09/25/2022 01:00PM ET"
7.914,"michael","pittman","WR","Michael Pittman Jr. (24169664)","michael pittman",24169664,6900,"KC@IND 09/25/2022 01:00PM ET"
7.873,"devonta","smith","WR","DeVonta Smith (24169722)","devonta smith",24169722,5200,"PHI@WAS 09/25/2022 01:00PM ET"
7.74924749373434,"curtis","samuel","WR","Curtis Samuel (24169724)","curtis samuel",24169724,5100,"PHI@WAS 09/25/2022 01:00PM ET"
7.7235,"garrett","wilson","WR","Garrett Wilson (24169714)","garrett wilson",24169714,5400,"CIN@NYJ 09/25/2022 01:00PM ET"
7.666,"drake","london","WR","Drake London (24169696)","drake london",24169696,5800,"ATL@SEA 09/25/2022 04:25PM ET"
7.48375,"chris","olave","WR","Chris Olave (24169756)","chris olave",24169756,4500,"NO@CAR 09/25/2022 01:00PM ET"
7.473,"jakobi","meyers","WR","Jakobi Meyers (24169732)","jakobi meyers",24169732,5000,"BAL@NE 09/25/2022 01:00PM ET"
7.215,"marquise","brown","WR","Marquise Brown (24169688)","marquise brown",24169688,6000,"LAR@ARI 09/25/2022 04:25PM ET"
7.065,"mike","williams","WR","Mike Williams (24169668)","mike williams",24169668,6700,"JAX@LAC 09/25/2022 04:05PM ET"
7.0065,"allen","lazard","WR","Allen Lazard (24169686)","allen lazard",24169686,6000,"GB@TB 09/25/2022 04:25PM ET"
6.857,"rashod","bateman","WR","Rashod Bateman (24169702)","rashod bateman",24169702,5700,"BAL@NE 09/25/2022 01:00PM ET"
6.7305,"juju","smithschuster","WR","JuJu Smith-Schuster (24169708)","juju smithschuster",24169708,5500,"KC@IND 09/25/2022 01:00PM ET"
6.713,"josh","palmer","WR","Joshua Palmer (24169742)","joshua palmer",24169742,4800,"JAX@LAC 09/25/2022 04:05PM ET"
6.71,"marquez","valdesscantling","WR","Marquez Valdes-Scantling (24169746)","marquez valdesscantling",24169746,4700,"KC@IND 09/25/2022 01:00PM ET"
6.4185,"robert","woods","WR","Robert Woods (24169728)","robert woods",24169728,5000,"LV@TEN 09/25/2022 01:00PM ET"
6.40675,"mecole","hardman","WR","Mecole Hardman (24169752)","mecole hardman",24169752,4600,"KC@IND 09/25/2022 01:00PM ET"
