"Date","TSAscreenings"
"5/6/21",1703267
"5/7/21",1429657
"5/8/21",1707805
"5/9/21",1657722
"5/10/21",1315493
"5/11/21",1424664
"5/12/21",1743515
"5/13/21",1716561
"5/14/21",1453267
"5/15/21",1850531
"5/16/21",1734541
"5/17/21",1408017
"5/18/21",1496089
"5/19/21",1728496
"5/20/21",1820433
"5/21/21",1550044
"5/22/21",1863697
"5/23/21",1747353
"5/24/21",1470840
"5/25/21",1618169
"5/26/21",1854534
"5/27/21",1959593
"5/28/21",1605810
"5/29/21",1650454
"5/30/21",1900170
"5/31/21",1682752
"6/1/21",1587910
"6/2/21",1815931
"6/3/21",1879885
"6/4/21",1681192
"6/5/21",1984658
"6/6/21",1828396
"6/7/21",1560561
"6/8/21",1669537
"6/9/21",1975189
"6/10/21",2028961
"6/11/21",1812797
"6/12/21",2097433
"6/13/21",1800954
"6/14/21",1678688
"6/15/21",1792370
"6/16/21",2039425
"6/17/21",2081115
"6/18/21",1882381
"6/19/21",2100761
"6/20/21",2030577
"6/21/21",1795141
"6/22/21",1801329
"6/23/21",2085327
"6/24/21",2137584
"6/25/21",1918705
"6/26/21",2167380
"6/27/21",2066964
"6/28/21",1808306
"6/29/21",1920663
"6/30/21",2147090
"7/1/21",2196411
"7/2/21",1915017
"7/3/21",1681896
"7/4/21",2160147
"7/5/21",1889911
"7/6/21",1880160
"7/7/21",2027364
"7/8/21",2147903
"7/9/21",1987652
"7/10/21",2198635
"7/11/21",2093066
"7/12/21",1832878
"7/13/21",1900945
"7/14/21",2152053
"7/15/21",2199815
"7/16/21",1979981
"7/17/21",2227704
"7/18/21",2141429
"7/19/21",1871986
"7/20/21",1934918
"7/21/21",2101343
"7/22/21",2159300
"7/23/21",1942871
"7/24/21",2177129
"7/25/21",2124474
"7/26/21",1858328
"7/27/21",1923980
"7/28/21",2127634
"7/29/21",2198585
"7/30/21",2007412
"7/31/21",2238462
"8/1/21",2031758
"8/2/21",1797120
"8/3/21",1855299
"8/4/21",2063720
"8/5/21",2109091
"8/6/21",1925641
"8/7/21",2168264
"8/8/21",2022858
"8/9/21",1727075
"8/10/21",1761348
"8/11/21",2045301
"8/12/21",2065379
"8/13/21",1811767
"8/14/21",2114166
"8/15/21",1980585
"8/16/21",1607238
"8/17/21",1678231
"8/18/21",1945026
"8/19/21",1990608
"8/20/21",1685462
"8/21/21",1965020
"8/22/21",1820355
"8/23/21",1468219
"8/24/21",1539707
"8/25/21",1826310
"8/26/21",1853622
"8/27/21",1511294
"8/28/21",1900658
"8/29/21",1629475
"8/30/21",1345064
"8/31/21",1465197
"9/1/21",1896846
"9/2/21",2129999
"9/3/21",1545955
"9/4/21",1630786
"9/5/21",2025556
"9/6/21",1662932
"9/7/21",1439804
"9/8/21",1685668
"9/9/21",1792979
"9/10/21",1363653
"9/11/21",1966456
"9/12/21",1672895
"9/13/21",1271516
"9/14/21",1455913
"9/15/21",1851345
"9/16/21",1942337
"9/17/21",1476269
"9/18/21",2075468
"9/19/21",1820152
"9/20/21",1338166
"9/21/21",1460478
"9/22/21",1904732
"9/23/21",2019891
"9/24/21",1525438
"9/25/21",2102155
"9/26/21",1849171
"9/27/21",1334997
"9/28/21",1448369
